"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"rmqintersite";"site_lie";"intersite";"digicode";"divers"
0;"AI";1661;40;"69861";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Bas-Service";;"Saint-Etienne";"Relevé de compteur";"Villars Bas Service";2013;"AI";;"EDF";"RTC";"04 77 74 74 69";;"Sofrel";"S530";"4.11";"06:48";;;;;;;
0;"AJ";1663;41;"69862";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Bas-Service";;"Saint-Etienne";"Relevé de compteur";"Villars ASPTT";2013;"AJ";;"EDF";"RTC";"04 77 92 48 96";;"Sofrel";"TELBOX";"4.10";"06:49";;;;;;;
0;"AK";1654;0;"70846";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Bas-Service";;"Saint-Etienne";"Relevé de compteur";"La Fouillouse";2013;"AK";;"EDF";"Radio";;;"Sofrel";"S550";"3.10";;;;"Onzon Ratarieux";;;;
0;"AL";1665;55;"79907";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Moyen-Service";;"Saint-Etienne";"Relevé de compteur";"Talaudière Chazotte";2013;"AL";;"Autonome (Pile)";"GSM";"06 75 31 07 64";;"Sofrel";"LS42";"1.20";"06:39";;;;;;;
0;"B1";1591;2;"69285";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Rochetaillée";;"Saint-Etienne";"Réservoir";"Rochetaillée bourg";2012;"B1";"B2";"EDF";"RTC";"04 77 38 92 12";"";"Sofrel";"S550";"3.61";"07:00";"";"";"";;;"";""
0;"BC";1647;203;"69295";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service (St-Victor)";;"Saint-Etienne";"Pompage réservoir";"St-Victor Crêt Tharraud";2013;"BC";;"EDF";"RTC";"04 77 30 87 18";;"Sofrel";"S550";"4.11";"07:08";;;"St Victor Quéret";;;;
0;"BD";1648;0;"69296";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service (St-Victor)";;"Saint-Etienne";"Réservoir";"St-Victor Quêret";2013;"BD";"";"EDF";"Radio";"";"";"Sofrel";"S530";"3.10";"";"";"";"St-Victor Crêt Tharraud";;;"";""
0;"C1";1597;10;"72715";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Sectorisation";"Charcot eau potable";2012;"C1";"";"Autonome (Pile)";"RTC";"04 77 41 11 42";"";"Sofrel";"TELBOX";"4.10";"06:00";"";"";"";;;"";""
0;"C2";1598;11;"74434";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Sectorisation";"G.Tessier";2012;"C2";"";"Autonome (Pile)";"RTC";"04 77 49 13 18";"";"Sofrel";"TELBOX";"4.10";"06:02";"";"";"";;;"";""
0;"C3";1606;50;"69889";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Sectorisation";"Rue Ondaine";2013;"C3";"";"Autonome (Pile)";"GSM";"07 85 64 07 22";"";"Sofrel";"LS42";"1.20";"06:30";"";"";"";;;"";""
0;"C4";1607;51;"74975";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Sectorisation";"Descours";2013;"C4";"";"Autonome (Pile)";"GSM";"06 38 84 89 76";"";"Sofrel";"LS42";"1.20";"06:32";"";"";"";;;"";""
0;"C5";1608;52;"74976";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Sectorisation";"Martel";2013;"C5";"";"Autonome (Pile)";"GSM";"06 38 82 85 58";"";"Sofrel";"LS42";"1.20";"06:34";"";"";"";;;"";""
0;"C6";1609;53;"74974";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Moyen-Service";;"Saint-Etienne";"Sectorisation";"Chavassieux";2013;"C6";"";"Autonome (Pile)";"GSM";"06 38 84 18 85";"";"Sofrel";"LS42";"1.20";"06:36";"";"";"";;;"";""
0;"C7";1610;54;"74978";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Moyen-Service";;"Saint-Etienne";"Sectorisation";"Tilleuls";2013;"C7";"";"Autonome (Pile)";"GSM";"06 38 84 22 92";"";"Sofrel";"LS42";"1.20";"06:38";"";"";"";;;"";""
0;"C8";1611;12;"74977";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Moyen-Service";;"Saint-Etienne";"Sectorisation";"G. Nadaud";2013;"C8";"";"EDF";"GSM";"06 38 84 84 90";"";"Sofrel";"S530";"4.11";"06:04";"";"";"";;;"";""
0;"D2";1658;251;"69256";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Moyen-Service";;"Saint-Etienne";"Réservoir";"Portail Rouge";2013;"D2";"";"EDF";"RTC";"04 77 46 02 85";"";"Sofrel";"S50";"4.32";"07:04";"";"";"";;;"";""
0;"F1";1617;80;"69255";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Surpresseur";"Laya";2013;"F1";"";"EDF";"RTC";"04 77 80 51 69";"";"Sofrel";"S550";"4.20";"05:40";"";"";"";;;"";""
0;"G1";1626;90;"69890";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service (St-Victor)";;"Saint-Etienne";"Vanne";"St Victor Chichivieux";2013;"G1";"P4";"EDF";"RTC";"04 77 90 02 64";"";"Sofrel";"S550";"4.11";"05:30";"";"";"";;;"";"Commun assainissement"
0;"G2";1666;56;"79262";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Moyen-Service";;"Saint-Etienne";"Point de mesure";"Terrenoire Louis Destre";2013;"G2";"";"Autonome (Pile)";"GSM";"06 75 31 07 56";"";"Sofrel";"LS42";"1.20";"06:40";"";"";"";;;"";""
0;"H1";1655;220;"69302";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Bas-Service";;"Saint-Etienne";"Réservoir";"Musée";2013;"H1";;"EDF";"GSM";"07 88 56 28 08";;"Sofrel";"S530";"4.11";"05:50";;;;;;;
0;"H2";1656;221;"69303";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Bas-Service";;"Saint-Etienne";"Réservoir";"Pépinière";2013;"H2";;"EDF";"GSM";"06 42 40 52 80";;"Sofrel";"S550";"4.11";"05:51";;;;;;;
0;"M10";1637;239;"69954";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH44 RV15";2013;"M10";"";"EDF";"RTC";"04 77 56 47 52";"";"Sofrel";"S50";"5.26";"04:18";"";"";"";;;"";""
0;"M12";1639;241;"69845";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Furan Galerie Pas du Riot";2013;"M12";"";"EDF";"RTC";"04 77 51 49 26";"";"Sofrel";"S50";"5.26";"04:22";"";"";"";;;"";""
0;"M2";1629;231;"69923";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH17 RV5";2013;"M2";"";"EDF";"RTC";"04 71 75 48 04";"";"Sofrel";"S50";"5.26";"";"";"";"";;;"";""
0;"M3";1630;232;"69926";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH20 RV06 Monistrol";2013;"M3";"";"EDF";"RTC";"04 71 75 45 66";"";"Sofrel";"S50";"5.26";"";"";"";"";;;"";""
0;"M4";1631;233;"69958";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Ligon CPT Aurec/Loire";2013;"M4";"";"EDF";"RTC";"04 77 35 25 44";"";"Sofrel";"S50";"5.26";"04:06";"";"";"";;;"";""
0;"M5";1632;234;"69960";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH31 Brise Charge Ouillas";2013;"M5";"";"EDF";"RTC";"04 77 35 45 37";"";"Sofrel";"S50";"5.26";"04:08";"";"";"";;;"";""
0;"M6";1633;235;"69948";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH32 RV10";2013;"M6";"";"EDF";"RTC";"04 77 35 49 94";"";"Sofrel";"S50";"5.26";"04:10";"";"";"";;;"";""
0;"M7";1634;236;"69949";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH36 RV12";2013;"M7";"";"EDF";"RTC";"04 77 56 29 81";"";"Sofrel";"S50";"5.26";"04:12";"";"";"";;;"";""
0;"M8";1635;237;"69950";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH37 RV13";2013;"M8";"";"EDF";"RTC";"04 77 56 41 33";"";"Sofrel";"S50";"5.26";"04:14";"";"";"";;;"";""
0;"M9";1636;238;"69953";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Lignon CH 41 Semène";2013;"M9";"";"Autonome (Pile)";"RTC";"04 77 56 90 46";"";"Sofrel";"TELBOX";"3.20";"04:16";"";"";"";;;"";""
0;"N1";1615;3;"77197";"0-3";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Relevé de compteur";"Lignon Sofrel Montregard";2013;"N1";"";"EDF";"RTC";"04 71 65 19 85";"";"Sofrel";"S550";"3.40";"03:30";"";"";"";;;"";""
0;"N2";1614;4;"70918";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Relevé de compteur";"Lignon Sofrel SIPEP";2013;"N2";"";"EDF";"GSM";"06 86 02 51 89";"";"Sofrel";"S510";"3.40";"03:32";"";"";"";;;"";""
0;"O1";1593;175;"70866";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Emissaire";;"Saint-Etienne métropole";"Point de mesure";"Onzon Ratarieux OZ1";2012;"O1";"";"EDF";"RTC";"04 77 93 64 55";"";"Sofrel";"S550";"4.11";"05:00";"";"";"";;;"";"Commun eau potable"
0;"O2";1592;0;"76446";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Emissaire";;"Saint-Etienne métropole";"Point de mesure";"Entrée STEU EM2";2012;"O2";"";"EDF";"LS";"";"";"Sofrel";"S530";"4.11";"";"";"";"Onzon Ratarieux";;;"";""
0;"O3";1599;172;"70865";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Emissaire";;"Saint-Etienne métropole";"Point de mesure";"Musée d'art moderne EM1";2012;"O3";"";"EDF";"GSM";"06 32 23 86 67";"";"Sofrel";"S550";"4.11";"05:01";"";"";"";;;"";""
0;"P1";1595;100;"69231";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Isérable";;"Saint-Etienne métropole";"Poste de relevage";"Baraillière";2012;"P1";"";"EDF";"RTC";"04 77 21 32 49";"";"Sofrel";"S530";"4.11";"04:30";"";"";"";;;"";""
0;"P2";1594;101;"69248";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Victor";;"Saint-Etienne métropole";"Poste de relevage";"St Victor Bécizieux haut";2012;"P2";"";"EDF";"RTC";"04 77 50 42 86";"";"Sofrel";"S550";"4.11";"04:32";"";"";"";;;"";""
0;"P3";1624;0;"69250";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Nord";;"Saint-Etienne métropole";"Poste de relevage";"Xavier Privas";2013;"P3";"AB";"EDF";"RTC";"04 77 21 38 13";"";"Sofrel";"S530";"3.30";"";"";"";"";;;"";"Commun eau potable"
0;"P4";1625;0;"69243";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Victor";;"Saint-Etienne métropole";"Poste de relevage";"St Victor Civoitière";2013;"P4";"G1";"EDF";"RTC";"04 77 90 02 64";"";"Sofrel";"S550";"4.11";"";"";"";"";;;"";"Commun eau potable"
0;"R1";1600;50;"70835";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Nord";"";"Saint-Etienne métropole";"Point de mesure";"Crêt de Roc/Rouget de l'isle/FU2b";2012;"R1";"";"EDF";"IP";"";"06 89 83 64 43";"Sofrel";"S550";"4.30.12";"";"";"10.81.8.117";"";"";"Non";"";""
0;"R2";1605;51;"76948";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";"";"Saint-Etienne métropole";"Point de mesure";"Place du peuple RG3";2012;"R2";"";"EDF";"IP";"";"06 89 83 61 16";"Sofrel";"S550";"4.30.12";"";"";"10.81.8.149";"";"";"Non";"";""
0;"R3";1674;52;"70802";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Nord";"";"Saint-Etienne métropole";"Point de mesure";"Bergson";2013;"R3";"";"EDF";"IP";"";"06 89 83 62 06";"Sofrel";"S550";"4.11";"";"";"10.81.8.85";"";"";"Non";"";""
0;"R4";1675;53;"69602";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Nord";"";"Saint-Etienne métropole";"Point de mesure";"Bd Thiers";2013;"R4";"";"EDF";"IP";"";"06 89 83 76 28";"Sofrel";"S550";"4.11";"";"";"10.81.8.69";"";"";"Non";"";""
0;"R5";1677;54;"70789";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";"";"Saint-Etienne métropole";"Point de mesure";"Charcot";2013;"R5";"";"EDF";"IP";"";"06 89 83 61 48";"Sofrel";"S550";"4.11";"";"";"10.81.8.101";"";"";"Non";"";""
0;"R6";1676;55;"70830";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";"";"Saint-Etienne métropole";"Point de mesure";"Michelet";2013;"R6";"";"EDF";"IP";"";"06 89 83 61 20";"Sofrel";"S550";"4.11";"";"";"10.81.8.133";"";"";"Non";"";""
0;"S1";1612;150;"70939";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Furan";;"Saint-Etienne métropole";"Point de mesure";"Valbenoite FU1";2013;"S1";"";"EDF";"RTC";"04 77 80 74 47";"";"Sofrel";"S50";"5.26";"05:03";"";"";"";;;"";""
0;"S3";1613;152;"70916";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Furan";;"Saint-Etienne métropole";"Point de mesure";"Furan 3 glorieuses FU3";2013;"S3";"";"EDF";"RTC";"04 77 92 50 05";"";"Sofrel";"S50";"5.40";"05:02";"";"";"";;;"";""
0;"T1";1673;0;"70815";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";;"Saint-Etienne métropole";"Pluviométrie";"Pluviomètre Dame Blanche";2013;"T1";"";"EDF";"RTC";"04 77 37 72 12";"";"Sofrel";"S550";"3.30";"";"";"";"";;;"";"Commun eau potable"
0;"T2";1680;114;"70814";;"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Nord";;"Saint-Etienne métropole";"Pluviométrie";"Pluviomètre Golf";2014;"T2";;"EDF";"RTC";"04 77 92 49 73";;"Sofrel";"S50";"5.26";"05:24";;;;;"Non";;
0;"T3";1681;0;"70816";;"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";;"Saint-Etienne métropole";"Pluviométrie";"Pluviomètre Chauvetière";2014;"T3";;"EDF";"GPRS";;;"Sofrel";"S530";"4.30.12";;;;;;"Non";;"Commun Bassin chauvetière (Topkapi : TA)"
0;"T4";1679;2;"70812";;"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Nord";;"Saint-Etienne métropole";"Pluviométrie";"Pluviomètre SSDE Soleil";2014;"T4";;"EDF";"IP";;;"Sofrel";"S530";"3.61";;;"10.81.5.85";;;"Non";;
0;"TA";1682;130;"69971";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";"";"Saint-Etienne métropole";"Bassin d'orage";"Bassin Chauvetière";2014;"TA";"";"EDF";"GPRS";"";"";"Sofrel";"S530";"4.30.12";"05:50";"";"10.86.24.86";"";"";"Non";"";"Commun pluviomètre Chauvetière (Topkapi : T3)"
0;"V1";1601;10;"70870";;"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Terrenoire";;"Saint-Etienne métropole";"Déversoir d'orage";"Terrenoire DO 03";2012;"V1";;"Autonome (Pile)";"GPRS";;;"Sofrel";"LT42";"3.11.11";"06:00";;"10.86.24.19";;;;;
0;"V2";1602;11;"70873";;"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Terrenoire";;"Saint-Etienne métropole";"Déversoir d'orage";"Terrenoire DO 06";2012;"V2";;"Autonome (Pile)";"GPRS";;;"Sofrel";"LT42";"3.11.11";"06:01";;"10.86.24.20";;;;;
0;"V3";1603;12;"70874";;"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Terrenoire";;"Saint-Etienne métropole";"Déversoir d'orage";"Terrenoire DO 07";2012;"V3";;"Autonome (Pile)";"GPRS";;;"Sofrel";"LT42";"3.11.11";"06:02";;"10.86.24.21";;;;;
0;"V4";1604;13;"70908";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";;"Saint-Etienne métropole";"Déversoir d'orage";"DO18 Durafour";2012;"V4";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"3.11.11";"06:03";"";"10.86.24.24";"";;;"";""
0;"V5";1645;14;"70883";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Isérable";;"Saint-Etienne métropole";"Déversoir d'orage";"Isérable DO 05";2013;"V5";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"3.20.11";"06:04";"";"10.86.24.33";"";;;"";""
0;"V6";1646;15;"77055";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Nord";;"Saint-Etienne métropole";"Déversoir d'orage";"DO 42 Colard";2013;"V6";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"3.20.11";"06:05";"";"10.86.24.40";"";;;"";""
0;"V7";1649;16;"79758";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";;"Saint-Etienne métropole";"Déversoir d'orage";"FU DO27 Louis Comte";2013;"V7";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"3.20.11";"06:06";"";"10.86.24.56";"";;;"";""
0;"V8";1650;17;"78212";"";"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Saint-Etienne Sud";;"Saint-Etienne métropole";"Déversoir d'orage";"FU DO29 Justes";2013;"V8";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"3.20.11";"06:07";"";"10.86.24.57";"";;;"";""
