"Nombre_PA";"Page";"IDNum";"centre";"agence";"superviseur";"secteur";"syndicat";"commune";"nom_site";"code_ppv";"an_service";"numero_esclave";"code_id";"code_station";"pages_annexes";"activites";"categorie";"energie";"support";"num_appel";"num_secours";"adresse_ip";"intersite";"site_lie";"rmqintersite";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers"
0;"VG";1226;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM d Issoire";"Vic-Le-Comte";"Compteur Lachaux";"12831";2010;89;"";"VG";"";"Eau potable";"Relevé de compteur";"Autonome (Pile)";"GSM";"07 86 16 42 41";;;"Non";;;"Sofrel";"LS42";"2.10";"06:02";"";"";""
0;"VH";283;"Loire Auvergne";"CCANL";"CCANL";"Corrèze";"Commune de Treignac";"Treignac";"PR La Brasserie";"12015";2011;133;"";"VH";"";"Assainissement";"Poste de relevage";"EDF";"RTC";"05 55 98 05 41";;;"Non";;;"Sofrel";"S530";"3.61";"06:25";"Corrèze";;
0;"VH";1221;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM d Issoire";"Plauzat";"Réservoir Plauzat";"12592";2010;81;"";"VH";"";"Eau potable";"Réservoir";"Autonome (Pile)";"GSM";"06 40 36 96 93";;;"Non";;;"Sofrel";"LS42";"2.10";"06:13";"PDD";;
0;"VI";284;"Loire Auvergne";"CCANL";"CCANL";"Corrèze";"Commune de Treignac";"Treignac";"PR La Pétanque";"12016";2011;134;"";"VI";"";"Assainissement";"Poste de relevage";"EDF";"RTC";"05 55 98 04 48";;;"Non";;;"Sofrel";"S530";"3.61";"06:26";"Corrèze";;
0;"VI";1222;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM d Issoire";"Vic-Le-Comte";"Compteur Longue Gerles";"66276";2010;82;;"VI";;"Eau potable";"Relevé de compteur";"Autonome (Pile)";"GSM";"06 79 26 23 10";;;"Non";;;"Sofrel";"LS42";"2.10";"06:14";"PDD";;
0;"VJ";285;"Loire Auvergne";"CCANL";"CCANL";"Corrèze";"Commune d Uzerche";"Affieux";"Treignac";"11974";1993;135;"";"VJ";"";"Assainissement";"STEP";"EDF";"RTC";"05 55 98 04 62";"";"";"Non";"";"";"Sofrel";"S50";"5.46";"06:27";"Corrèze";"";""
0;"VJ";1223;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM d Issoire";"Saint-Pierre-Colamine";"Jonas";"12735";2010;83;"";"VJ";"";"Eau potable";"Réservoir";"Autonome (Pile)";"GSM";"06 79 26 22 83";;;"Non";;;"Sofrel";"LS42";"2.10";"06:15";"PDD";"";""
0;"VK";286;"Loire Auvergne";"CCANL";"CCANL";"Corrèze";"Commune d Uzerche";"Uzerche";"Uzerche";"12034";2011;136;"";"VK";"VQ";"Assainissement";"STEP";"EDF";"RTC";"05 55 98 83 94";;;"Non";;;"Sofrel";"S550";"3.61";"06:28";"Corrèze";;
0;"VK";1224;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM d Issoire";"Verrières";"Réservoir Verrières";"12815";2010;84;;"VK";"";"Eau potable";"Réservoir";"Autonome (Pile)";"GSM";"06 79 26 21 24";;;"Non";;;"Sofrel";"LS42";"2.10";"06:16";"PDD";;
0;"VL";291;"Loire Auvergne";"CCANL";"CCANL";"Corrèze";"Commune d Egletons";"Egletons";"Egletons";"12013";1992;225;;"VL";"VM/VN/WS";"Assainissement";"STEP";"EDF";"RTC";"05 55 93 90 88";;;"Non";;;"Sofrel";"S50";"3.20";"06:29";"Corrèze";;
0;"VL";1313;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM d Issoire";"Vernines";"Regard Captage Pessade";"62870";2011;63;;"VL";;"Eau potable";"Captage";"Autonome (Pile)";"GSM";"07 62 96 98 18";;;"Non";;;"Sofrel";"LS42";"2.10";"06:13";"PDD Eau Potable";;
0;"VM";1308;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM d Issoire";"Aydat";"Réservoir Rouillas Bas";"12304";2011;59;"";"VM";"";"Eau potable";"Réservoir";"Autonome (Pile)";"GSM";"06 79 76 71 64";;;"Non";;;"Sofrel";"LS42";"1.20";"06:12";"";;
0;"VR";273;"Loire Auvergne";"CCANL";"CCANL";"Corrèze";"Commune de Chamberet";"Chamberet";"Le Bourg";"11982";2001;137;;"VR";"";"Eau potable";"Réservoir";"EDF";"RTC";"05 55 98 85 10";;;"Non";;;"Sofrel";"S50";"5.22";"05:31";"Corrèze";;
0;"VS";267;"Loire Auvergne";"CCANL";"CCANL";"Corrèze";"Commune d Egletons";"Egletons";"Le Combasteix";"12009";1999;138;;"VS";"";"Eau potable";"Station de traitement";"EDF";"RTC";"05 55 93 14 78";;;"Non";;;"Sofrel";"S10E";"3.7";"06:17";"Corrèze";;
