"Nombre_PA";"Page";"IDNum";"IDKey";"numero_esclave";"code_ppv";"code_id";"centre";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers";"rmqintersite";"site_lie";"intersite";"adresse_ip";"num_secours"
0;"L2";949;"14_LHL_L2_WIT";14;"12156";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"St Genest Lerpt";"Réservoir";"Les bugnettes";1998;"L2";"";"-----------";"RTC";"04 77 90 23 29";"WIT";"Clip 8000";"V87e";"06:37";"Grand Croix";;;;;;;
0;"L2";1325;;210;"64175";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"Syndicat de la Vallée de la Veyre";"Déversoir d'orage";"Tallende - Lot St Romain";2012;"L2";"";"Autonome (Pile)";"GSM";"06 78 09 45 75";"Sofrel";"LS42";"2.20";"05:26";"PDD Assainissement";"";"";;;;;
0;"L4";1327;;79;"73863";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"Syndicat de la Vallée de la Veyre";"Déversoir d'orage";"DO Rue Pierre Canadien";2012;"L4";"";"EDF";"GSM";"06 78 09 41 67";"Sofrel";"S550";"3.50";"04:14";"PDD Assainissement";;;;;;;
0;"L5";952;"41_LHL_L5_WIT";41;"12159";"";"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"St Genest Lerpt";"Pompage";"Landuzière";1998;"L5";"";"EDF";"RTC";"04 77 90 24 29";"WIT";"1500";"V94";"06:39";"Grand Croix";"";"";;;;;
0;"L5";1328;;70;"73864";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"Syndicat de la Vallée de la Veyre";"Déversoir d'orage";"DO Rond point Mirefleurs";2012;"L5";"";"EDF";"GSM";"06 78 06 47 08";"Sofrel";"S550";"3.61";"04:15";"PDD Assainissement";"";"";;;;;
0;"L51";1436;;198;"58937";"";"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Moulins";;"C.A.Moulins";"STEP";"STEP Souvigny";2012;"L51";"L52";"EDF";"GSM";"06 12 08 99 54";"Sofrel";"S550";"3.30";"03:18";"Moulins";"";"";;;;;
0;"L6";953;"42_LHL_L6_WIT";42;"12158";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"St Genest Lerpt";"Pompage";"Petit Bourdon";1998;"L6";;"EDF";"RTC";"04 77 37 79 82";"WIT";"X 32";"V66e";"06:40";"Grand Croix";;;;;;;
0;"L6";1329;;78;"64180";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"Syndicat de la Vallée de la Veyre";"Déversoir d'orage";"DO Route de Clermont";2012;"L6";"";"EDF";"GSM";"06 78 06 27 78";"Sofrel";"S550";"3.61";"04:15";"PDD Assainissement";;;;;;;
0;"L7";954;"53_LHL_L7_WIT";53;"12157";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"St Genest Lerpt";"Pompage";"Le Minois";2000;"L7";;"EDF";"RTC";"04 77 90 14 82";"WIT";"Modulo 5120";"V54a";"06:38";"Grand Croix";;;;;;;
0;"L7";1552;;228;"67649";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"Gergovie Val d'Allier";"Poste de relevage";"Pra de Serre";2013;"L7";"";"EDF";"GSM";"06 38 63 45 89";"Sofrel";"S510";"4.30";"04:41";"PDD Assainissement";"";"";;;;;
0;"L8";955;"0_LHL_L8_WIT";56;"56650";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"St Genest Lerpt";"Pompage";"Crêt de la vigne ";2004;"L8";;"EDF";"RTC";"04 77 37 75 16";"WIT";"Clip 8000";"V84a";"06:41";"Grand Croix";;;;;;;
0;"LA";833;"118_PDD_LA_SOFREL";118;"12813";"";"Loire Auvergne";"PDD";"PDD_CA";"Prestation EP";"PDD";;"Syndicat de Beaumont / Ceyrat";"Réservoir";"Vernines";2000;"LA";"";"EDF";"RTC";"04 73 65 60 87";"Sofrel";"S50";"4.34";"05:37";"PDD Eau Potable";"";"";;;;;
0;"LE";1496;;1;"12305";"";"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM d Issoire";"Autre";"Réservoir La Serre";2012;"LE";"";"Autonome (Pile)";"GSM";"06 81 16 80 81";"Sofrel";"LS42";"3;10";"05:29";"";"";"";;;;;
0;"LI";1135;"108_CCANL_LI_SOFREL";108;"0";;"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Allier";;"Commune de St Eloy les Mines";"Poste de relevage";"Lixiviats St Eloy";2009;"LI";;"EDF";"GSM";"06 86 90 85 27";"Sofrel";"S550";"3.30";"04:50";"CCANL";;;;;;;
0;"M01";1379;;227;"58915";"";"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Moulins";;"C.A.Moulins";"Poste de relevage";"PR Bourbonnais";2012;"M01";"";"EDF";"GSM";"06 12 62 98 54";"Sofrel";"S530";"3.23";"03:26";"Moulins";"";"";;;;;
0;"M1";1016;"86_PDD_M1_SOFREL";86;"0";"";"Loire Auvergne";"PDD";"PDD_CA";"Autre";"Autre";;"Clermont";"Autre";"Pompage Formation";2002;"M1";"";"EDF";"RTC";"04 73 28 66 08";"Sofrel";"S50";"5.46";"02:10";"PDD Eau Potable";"";"";;;;;
