"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"intersite";"site_lie";"rmqintersite";"digicode";"divers"
0;"A1";2177;3;"22028";"0 - 0";"Centre-Rhône";"EP Mions Grand Lyon";"Eau potable";"SUD";"CORBAS";"GRAND LYON";"Captage";"LOGEMENT LES ROMANETTES - CORBAS";0;"A1";"A0";"EDF";"RTC";"04 72 51 22 59";"";"Sofrel";"S50";"";"";"";"";;;"Radio avec R la pierre";"";""
0;"A10";1537;10;"7015";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"STEP";"STEP LES FOURCHES - St ANDRE CORCY";1991;"A10";"";"EDF";"GSM";"06 86 61 68 93";"";"Perax";"P400XI";"0023 5.72";"";"M3/A3";"";;;"";"";""
0;"A14";2334;111;"76360";"0-1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-MARCEL";"DOMBES SAONE";"STEP";"STEP St MARCEL";2012;"A14";"";"EDF";"RTC";"04 72 08 54 22";"";"Perax";"P200Xm";"000N 5.57";"";"A3-M3";"";;;"";"";"transfert de la Nantaise"
0;"A2";1790;67;"6280";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"QUINCIEUX";"SAONE TURDINE";"Captage";"CAPTAGE QUINCIEUX - QUINCIEUX";0;"A2";"";"EDF";"RTC";"04 74 67 13 99";"";"Sofrel";"S50";"";"";"";"";;;"A0";;
0;"A24";1793;22;"71499";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"LE PLANTAY";"PLANTAY";"Poste de relevage";"PR ABBAYE - PLANTAY";2011;"A24";;"EDF";"RTC";"04 72 25 04 48";;"Sofrel";"S500";"3.30";;"A3-M3";;;;;;
0;"A25";1659;53;"6901";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"VILLARS-LES-DOMBES";"VILLARD LES DOMBES";"Poste de relevage";"PR FILIOLY - VILLARS LES DOMBES";2005;"A25";"";"EDF";"RTC";"04 74 98 29 88";"";"Perax";"P400XI";"6.15";"";"M3/A3";"";;;"";"";""
0;"A26";1556;27;"6903";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"VILLARS-LES-DOMBES";"VILLARD LES DOMBES";"Poste de relevage";"PR CAMPING - VILLARS LES DOMBES";2005;"A26";"";"EDF";"GSM";"06 70 73 92 51";"";"Perax";"P200Xm";"0023 5.71";"";"M3/A3";"";;;"";;
0;"A27";1555;28;"6902";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"VILLARS-LES-DOMBES";"VILLARD LES DOMBES";"Poste de relevage";"PR GRANDS COMMUNAUX - VILLARS D.";2005;"A27";"";"EDF";"RTC";"04 74 98 12 47";"";"Perax";"P200Xm";"000N 5.71";"";"M3/A3";"";;;"";;
0;"A28";1554;29;"6905";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"VILLARS-LES-DOMBES";"VILLARD LES DOMBES";"Poste de relevage";"PR PLAINE FLEURIE - VILLARS D.";2005;"A28";"";"EDF";"RTC";"04 74 98 07 47";"";"Perax";"P200Xm";"000N 5.67";"";"M3/A3";"";;;"";;
0;"A29";1552;30;"6904";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"VILLARS-LES-DOMBES";"VILLARD LES DOMBES";"Poste de relevage";"PR GENERAL - VILLARS LES DOMBES";2005;"A29";"";"EDF";"RTC";"04 74 98 27 00";"";"Perax";"P200Xm";"000N 5.71";"";"M3/A3";"";;;"";;
